Question Type,Parent Category,Category,Random Answers,Correct Feedback,Incorrect Feedback,Points,Question,Correct,Answer A,Answer B,Answer C,Answer D
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,श्रृंखला पूरी करें: 3 6 12 24 ?,A,48,36,30,60

multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,यदि BAT = CBU तो CAT = ?,B,DBU,DBV,CBU,DAU
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,यदि 5 10 15 = 30 तो 6 12 18 = ?,C,30,32,36,40
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,यदि MAN = NBO तो DOG = ?,A,EPH,DOH,FPH,EOH
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,यदि RAM = 27 तो CAT = ?,D,22,23,21,24
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,यदि PEN = 27 तो INK = ?,B,26,29,30,28

multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,शब्दकोश में पहले कौन आएगा?,A,Ant,Apple,Ball,Bat
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,शब्दकोश में अंतिम शब्द कौन सा है?,D,Dog,Deer,Cat,Zebra
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,सही शब्दकोश क्रम चुनें?,B,Pen Pencil Paper Book,Book Paper Pen Pencil,Book Paper Pencil Pen,Paper Book Pen Pencil
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,निम्न में से कौन शब्द पहले आएगा?,C,School,Science,Apple,Student
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,शब्दकोश क्रम में कौन बीच में आएगा?,A,Cat,Cow,Dog,Deer

multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,अक्षरों को सही शब्द में जमाएं: LDOHG?,B,GOLDH,HOLDG,GODLH,DHOLG
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,अक्षरों को सही शब्द में जमाएं: TAEH?,C,HEAT,HATE,THEA,ATEH
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,अक्षरों को सही शब्द में जमाएं: KOOB?,A,BOOK,KOOB,BOKO,OBOK
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,अक्षरों को सही शब्द में जमाएं: RACE?,D,CARE,EARC,ACRE,RACE
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,अक्षरों को सही शब्द में जमाएं: LPEPA?,A,APPLE,PEPAL,PALEP,ELPAP

multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,यदि राम मोहन का पिता है और मोहन सोहन का भाई है तो राम सोहन का क्या है?,C,चाचा,मामा,पिता,भाई
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,एक लड़की अपनी मां के पति की मां को क्या कहेगी?,D,बहन,बुआ,मौसी,दादी
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,यदि A B की बहन है और B C का पिता है तो A C की क्या है?,A,बुआ,मां,बहन,चाची
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,एक व्यक्ति अपने पिता की बहन के पुत्र को क्या कहेगा?,B,भाई,चचेरा भाई,मामा,भांजा
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,यदि X Y की मां है और Y Z का भाई है तो X Z की क्या है?,C,बहन,बुआ,मां,दादी

multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,4x5 मैट्रिक्स में कुल कितने खाने होंगे?,B,15,20,25,10
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,3x4 मैट्रिक्स में तत्वों की संख्या?,A,12,9,7,6
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,5x5 मैट्रिक्स में विकर्ण तत्व कितने?,C,3,4,5,6
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,2x3 मैट्रिक्स में कुल तत्व?,D,4,5,6,8
multiplechoice,,NTPC Reasoning,Yes,सही उत्तर,गलत उत्तर,1,1x1 मैट्रिक्स में कितने तत्व?,A,1,0,2,3
